City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,antalaha,-14.9003,50.2788,80.47,70,6,4.21,MG,1651384028
215,xapuri,-10.6517,-68.5044,71.89,90,76,1.88,BR,1651384029
216,kieta,-6.2167,155.6333,82.71,77,54,2.13,PG,1651384030
217,bambanglipuro,-7.95,110.2833,88.25,61,75,7.47,ID,1651384030
218,butte,39.6499,-121.5677,66.42,45,0,14.97,US,1651384031
219,vicuna,-30.0319,-70.7081,44.33,38,0,1.05,CL,1651384032
220,jamestown,42.097,-79.2353,49.64,34,0,5.75,US,1651384032
221,kita,13.0349,-9.4895,84.87,43,100,3.02,ML,1651384033
222,paamiut,61.994,-49.6678,30.22,84,85,8.81,GL,1651384034
223,akyab,20.15,92.9,87.6,63,9,11.41,MM,1651384034
224,saldanha,-33.0117,17.9442,48.25,89,3,11.18,ZA,1651384035
225,vao,-22.6667,167.4833,75.43,84,20,23.35,NC,1651384035
226,barra do garcas,-15.89,-52.2567,67.53,60,5,1.45,BR,1651384036
227,port keats,-14.25,129.55,88.11,55,88,8.93,AU,1651384036
228,mbalmayo,3.5167,11.5,69.4,99,100,0.85,CM,1651384037
229,sangar,63.9242,127.4739,42.19,70,100,11.92,RU,1651384037
230,puerto baquerizo moreno,-0.9,-89.6,70.77,93,26,8.37,EC,1651384038
231,oistins,13.0667,-59.5333,78.89,83,40,14.97,BB,1651384039
232,praia da vitoria,38.7333,-27.0667,57.45,88,20,3.49,PT,1651384039
233,saint-philippe,-21.3585,55.7679,83.21,74,22,8.05,RE,1651384040
234,mogok,22.9167,96.5,89.08,31,8,3.83,MM,1651384040
235,itarema,-2.9248,-39.9167,74.77,92,86,7.23,BR,1651384020
236,yuxia,34.0615,108.6291,72.21,20,52,4.54,CN,1651384041
237,shu,43.5983,73.7614,83.44,30,71,3.31,KZ,1651384041
238,ust-omchug,61.15,149.6333,32.81,93,83,2.19,RU,1651384042
239,pevek,69.7008,170.3133,12.22,89,63,5.79,RU,1651384042
240,gorontalo,0.5412,123.0595,86.09,72,29,2.77,ID,1651384043
241,auki,-8.7676,160.7034,81.39,82,100,3.27,SB,1651384044
242,ellisras,-23.6649,27.7443,63.82,73,9,8.75,ZA,1651384044
243,severnyy,50.677,36.5532,48.24,57,0,6.71,RU,1651384045
244,kruisfontein,-34.0033,24.7314,55.69,68,38,5.23,ZA,1651384045
245,mugumu,-1.85,34.7,65.95,83,50,2.95,TZ,1651384046
246,asyut,27.181,31.1837,68.18,23,4,9.01,EG,1651384046
247,saurimo,-9.6608,20.3916,62.92,67,45,5.66,AO,1651384047
248,mao,39.8885,4.2658,61.36,67,0,4.61,ES,1651384047
249,san quintin,30.4833,-115.95,58.84,89,100,6.91,MX,1651384048
250,ceres,37.5949,-120.9577,57.52,60,0,13.8,US,1651384048
251,komsomolskiy,40.4272,71.7189,81.32,34,45,4.61,UZ,1651384049
252,vauvert,43.7,4.2833,56.35,62,0,6.91,FR,1651384049
253,dwarka,22.2394,68.9678,88.59,68,2,16.58,IN,1651384050
254,nikolskoye,59.7035,30.7861,43.88,68,97,7.43,RU,1651384050
255,souillac,-20.5167,57.5167,80.98,74,40,6.91,MU,1651384051
256,petropavlovsk-kamchatskiy,53.0452,158.6483,43.39,53,75,11.18,RU,1651384051
257,kangasala,61.4638,24.076,40.98,64,82,4.54,FI,1651384051
258,el alto,-4.2714,-81.2147,67.15,81,68,12.28,PE,1651384052
259,faanui,-16.4833,-151.75,81.52,72,15,12.82,PF,1651384052
260,chuy,-33.6971,-53.4616,52.65,87,80,4.7,UY,1651384053
261,kuybysheve,47.358,36.6491,53.71,51,67,14.79,UA,1651384054
262,edson,53.5835,-116.4356,39.34,100,100,3.44,CA,1651383934
263,faya,18.3851,42.4509,69.91,30,52,6.29,SA,1651384054
264,mecca,21.4267,39.8261,88.99,47,0,9.53,SA,1651383845
265,marsabit,2.3284,37.9899,67.68,81,98,14.45,KE,1651384055
266,hearst,49.6835,-83.6665,44.85,85,95,8.28,CA,1651384055
267,victoria,22.2855,114.1577,69.33,91,100,10.0,HK,1651383965
268,jalu,29.0331,21.5482,78.76,18,93,17.94,LY,1651384056
269,abu samrah,35.3029,37.1841,67.42,66,74,8.05,SY,1651384057
270,vartej,21.7333,72.0667,100.67,25,2,8.77,IN,1651384057
271,litovko,49.2361,135.1742,50.13,40,48,13.94,RU,1651384058
272,georgetown,5.4112,100.3354,91.35,67,40,14.97,MY,1651384058
273,aktau,43.65,51.2,66.78,60,7,15.59,KZ,1651384059
274,srednekolymsk,67.45,153.6833,31.42,88,17,7.11,RU,1651384059
275,saint-francois,46.4154,3.9054,44.67,100,60,0.0,FR,1651384060
276,san ramon de la nueva oran,-23.1322,-64.326,58.5,97,100,0.51,AR,1651384060
277,eirunepe,-6.6603,-69.8736,70.92,98,82,1.7,BR,1651384061
278,vila franca do campo,37.7167,-25.4333,61.2,89,3,1.74,PT,1651384061
279,ulagan,50.6321,87.9563,66.4,19,97,1.83,RU,1651384062
280,fairbanks,64.8378,-147.7164,52.14,27,75,5.75,US,1651384062
281,asau,46.4333,26.4,54.95,57,77,2.39,RO,1651384063
282,saint simons,31.1352,-81.3901,71.64,75,0,9.22,US,1651384063
283,canutama,-6.5339,-64.3831,72.21,98,73,1.72,BR,1651384063
284,ayan,56.45,138.1667,33.28,87,99,4.34,RU,1651384064
285,nome,64.5011,-165.4064,46.47,58,0,19.57,US,1651384065
286,edd,13.9297,41.6925,88.86,57,100,5.59,ER,1651384065
287,jiayuguan,39.8167,98.3,58.35,12,0,6.11,CN,1651384066
288,yicheng,31.3705,119.8703,63.03,69,100,5.68,CN,1651384066
289,kirando,-7.4167,30.6,74.05,76,65,5.3,TZ,1651384067
290,mount isa,-20.7333,139.5,87.57,35,40,12.66,AU,1651384067
291,bilibino,68.0546,166.4372,23.27,76,16,1.43,RU,1651384068
292,dalvik,65.9702,-18.5286,44.53,80,59,11.65,IS,1651384068
293,newala,-10.9431,39.2787,70.7,76,4,2.95,TZ,1651384069
294,aklavik,68.2191,-135.0107,33.44,93,98,10.11,CA,1651384069
295,krasnorechenskiy,44.6265,135.3532,38.1,90,100,5.75,RU,1651384070
296,rahuri,19.3833,74.65,100.13,15,2,13.09,IN,1651384070
297,sambava,-14.2667,50.1667,79.7,73,5,7.23,MG,1651384071
298,macamic,48.7502,-78.9996,31.57,89,52,6.49,CA,1651384071
299,alamosa,37.4695,-105.87,46.38,25,0,8.05,US,1651384072
300,senanga,-16.1167,23.2667,63.57,53,2,4.52,ZM,1651384072
301,luoyang,34.6836,112.4536,77.25,13,69,12.3,CN,1651383972
302,bubaque,11.2833,-15.8333,76.6,70,37,5.39,GW,1651384073
303,dauphin,51.1494,-100.0502,39.34,81,100,12.66,CA,1651384073
304,curico,-34.9833,-71.2333,46.51,81,0,6.91,CL,1651384074
305,melilla,35.2937,-2.9383,53.98,76,20,3.44,ES,1651384074
306,camabatela,-8.1881,15.375,62.2,91,90,4.03,AO,1651384075
307,sao filipe,14.8961,-24.4956,72.28,74,8,11.81,CV,1651384075
308,sitka,57.0531,-135.33,48.09,66,100,3.44,US,1651384076
309,zabid,14.1951,43.3152,90.36,49,95,3.31,YE,1651384076
310,pahalgam,34.0333,75.3333,63.34,45,5,5.14,IN,1651384077
311,half moon bay,37.4636,-122.4286,54.1,82,100,20.71,US,1651384078
312,salalah,17.0151,54.0924,89.69,70,0,2.3,OM,1651384078
313,lake jackson,29.0339,-95.4344,75.99,89,100,4.61,US,1651384078
314,verkhniye kigi,55.4083,58.6044,50.23,41,62,8.1,RU,1651384079
315,zyryanka,65.75,150.85,33.12,94,74,10.0,RU,1651384080
316,champerico,14.3,-91.9167,83.41,69,97,2.8,GT,1651384080
317,hellin,38.5106,-1.701,58.77,67,53,3.02,ES,1651384081
318,simoes,-7.5989,-40.8178,69.85,78,64,12.37,BR,1651384081
319,lukulu,-14.3707,23.242,61.29,65,20,5.48,ZM,1651384082
320,olafsvik,64.8945,-23.7142,42.12,70,100,12.01,IS,1651384082
321,dakar,14.6937,-17.4441,68.13,88,80,11.5,SN,1651383820
322,black river,18.0264,-77.8487,75.72,83,20,3.29,JM,1651384083
323,demba,-5.51,22.2667,71.31,89,100,2.33,CD,1651384083
324,angoche,-16.2325,39.9086,77.59,76,36,9.08,MZ,1651384084
325,maningrida,-12.0667,134.2667,90.7,49,71,10.29,AU,1651384084
326,olenegorsk,68.15,33.3,28.24,72,77,10.13,RU,1651384085
327,siteki,-26.45,31.95,55.22,68,0,5.3,SZ,1651384085
328,durres,41.3231,19.4414,55.58,75,88,4.32,AL,1651384086
329,berlevag,70.8578,29.0864,30.15,64,75,23.02,NO,1651384086
330,port augusta,-32.5,137.7667,69.28,40,1,5.75,AU,1651384087
331,darab,28.7519,54.5444,75.81,32,0,2.17,IR,1651384087
332,mazatan,14.8667,-92.45,80.74,78,97,4.14,MX,1651384088
333,filadelfia,39.9523,-75.1638,52.09,64,0,0.0,US,1651383849
334,xenia,39.6848,-83.9296,64.29,85,40,16.11,US,1651384089
335,paraiso,9.8383,-83.8656,68.88,100,100,0.65,CR,1651384089
336,goya,-29.14,-59.2626,56.44,90,100,3.78,AR,1651384089
337,montabaur,50.4333,7.8333,48.7,79,85,2.44,DE,1651384090
338,abalak,58.1286,68.5944,43.29,39,67,6.08,RU,1651384091
339,touros,-5.1989,-35.4608,78.28,80,97,12.73,BR,1651384091
340,beboto,8.2668,16.939,81.27,57,93,5.59,TD,1651384092
341,redmond,47.674,-122.1215,53.33,80,67,1.81,US,1651384035
342,rorvik,64.8621,11.2373,42.85,91,100,20.76,NO,1651384093
343,boa vista,2.8197,-60.6733,78.78,78,0,2.3,BR,1651384093
344,los llanos de aridane,28.6585,-17.9182,60.55,77,0,12.66,ES,1651384094
345,comodoro rivadavia,-45.8667,-67.5,35.46,87,0,4.61,AR,1651384094
346,gorodishche,48.8045,44.4744,52.68,54,0,15.66,RU,1651384095
347,mahon,39.8885,4.2658,61.36,67,0,4.61,ES,1651384096
348,aksu,41.1231,80.2644,71.35,9,97,6.96,CN,1651384096
349,plettenberg bay,-34.0527,23.3716,58.87,67,21,3.94,ZA,1651384097
350,darhan,49.4867,105.9228,70.32,22,11,1.72,MN,1651384098
351,den helder,52.9599,4.7593,44.96,96,100,1.14,NL,1651384098
352,porto walter,-8.2686,-72.7439,69.84,99,54,0.45,BR,1651384099
353,anamur,36.0751,32.8369,71.31,64,21,4.72,TR,1651384100
354,yerbogachen,61.2767,108.0108,35.35,79,96,9.6,RU,1651384101
355,puerto escondido,15.85,-97.0667,80.87,73,34,6.24,MX,1651384101
356,hoa binh,20.8133,105.3383,69.57,80,100,5.75,VN,1651384102
357,kavaratti,10.5669,72.642,85.69,71,87,12.21,IN,1651384103
358,tilichiki,60.4667,166.1,29.21,83,65,8.5,RU,1651384103
359,liberal,37.0431,-100.921,55.54,35,0,4.61,US,1651384104
360,ozernovskiy,51.5,156.5167,35.31,91,36,5.84,RU,1651384105
361,udachnyy,66.4167,112.4,25.45,45,73,18.57,RU,1651384106
362,huarmey,-10.0681,-78.1522,66.16,88,74,6.67,PE,1651384106
363,tiarei,-17.5333,-149.3333,80.62,72,12,12.73,PF,1651384107
364,plonsk,52.6235,20.3755,49.86,59,90,0.36,PL,1651384108
365,sheridan,44.8333,-106.9173,43.7,72,0,5.75,US,1651384108
366,taoudenni,22.6783,-3.9836,72.7,30,1,13.98,ML,1651384109
367,hervey bay,-25.2986,152.8535,76.01,79,55,8.99,AU,1651384110
368,atasu,48.6814,71.6433,80.04,30,100,16.35,KZ,1651384110
